,link,summary,templates,related_status,related_timestep,source
3,https://drive.google.com/file/d/1iYFh5Sc4z6X9a1xHCF3cudQi_F8TxDFR/view?usp=sharing,"Risk of physical damage! The battery is low and the drone is flying at 3m altitude. [SEP]
(0:00) Risk of physical damage! The drone is flying 2m from a speedboat. [SEP]
(0:01) Risk of physical damage! There's a person on the speedboat 2m from the drone. [SEP]
(0:03) Risk of physical damage! Now the speedboat is .3m away and in the drone's path. [SEP]",The flying drone is runing out of battery with only 20.0% charge.(0:01) The drone is risking physical damage. It's flying too close to the moving person on speed boat at a distance of 2.0m.(0:03) The drone is facing the risk of physical damage. There is a speed boat in the drone's flight path at a distance of 0.3m.,"{""Battery_level"": 20.0}","{""time_stamp"": ""0:01"", ""name"": ""person on speed boat"", ""Distance"": 2.0}{""time_stamp"": ""0:03"", ""name"": ""speed boat"", ""Distance"": 0.3}","{""Battery_level"": 20.0}{""time_stamp"": ""0:01"", ""name"": ""person on speed boat"", ""Distance"": 2.0}{""time_stamp"": ""0:03"", ""name"": ""speed boat"", ""Distance"": 0.3}"
4,https://drive.google.com/file/d/13Cee4aO7m87Ldr5tYSHmKsLp0uCyZS5f/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 5m in strong wind. [SEP]
(0:03) Risk of physical damage! There's a sailboat in the drone's flight path at a distance of .5m. [SEP]",The flying drone is runing out of battery with only 20.0% charge.The drone is flying with a damaged frame.The drone is flying in a strong wind of 21.0m/s with a low battery level at 20.0%.(0:01) The drone is facing the risk of physical damage. There is a person opening arms on sailboat in the drone's flight path at a distance of 10.0m. (0:03) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.,"{""Battery_level"": 20.0}{""Normal_frame"": false}{""Battery_level"": 20.0, ""WindSpeed (m/s)"": 21.0}","{""time_stamp"": ""0:01"", ""name"": ""person opening arms on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}","{""Battery_level"": 20.0}{""Normal_frame"": false}{""Battery_level"": 20.0, ""WindSpeed (m/s)"": 21.0}{""time_stamp"": ""0:01"", ""name"": ""person opening arms on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}"
47,https://drive.google.com/file/d/1hQpqhat3xTZeVM0vvNdRRQSEbZ2iu6EX/view?usp=sharing,"Risk of physical damage! The frame is damaged and the battery is low. The drone is flying at a 16m altitude. [SEP]
(0:07) Risk of physical damage! In .5m there's a sailboat in the drone's path. [SEP]",The drone is flying with a damaged frame.(0:06) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 10.0m. (0:07) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:06"", ""name"": ""sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:07"", ""name"": ""sailboat"", ""Distance"": 0.5}","{""Normal_frame"": false}{""time_stamp"": ""0:06"", ""name"": ""sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:07"", ""name"": ""sailboat"", ""Distance"": 0.5}"
12,https://drive.google.com/file/d/1h_SrOVzGp_Zru4ZLuY9R4qKNo6yXgyfN/view?usp=sharing,"Risk of physical damage! The drone has low battery. It’s flying at an altitude of 3m. [SEP]
(0:00) Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 8m. [SEP]
(0:03) Risk of physical damage! Now the sailboat is in the drone's flight path at a distance of .5m. [SEP]",The drone is flying with a damaged frame.(0:00) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 8.0m. (0:03) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 8.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}","{""Normal_frame"": false}{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 8.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}"
48,https://drive.google.com/file/d/1gDYqqVm-9y412gXgx6OUvyU32wt9_k9a/view?usp=sharing,"(0:05) Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 1m. [SEP]
(0:08) Risk of physical damage! Now the sailboat is in the drone's flight path at a distance of .4m. [SEP]",(0:00) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 10.0m. (0:05) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 1.0m. (0:08) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.4m.,,"{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:05"", ""name"": ""sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:08"", ""name"": ""sailboat"", ""Distance"": 0.4}","{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:05"", ""name"": ""sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:08"", ""name"": ""sailboat"", ""Distance"": 0.4}"
22,https://drive.google.com/file/d/1bYCObLHR4wgRrk77v0LAW2HRI2ILHZ93/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame. [SEP]
(0:00) Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 8m. [SEP]
(0:03) Risk of physical damage! Now the sailboat is in the drone's flight path at a distance of .5m. There's also a person only 1m away. [SEP]","The drone is flying with a damaged frame.(0:03) The drone is risking physical damage. It's flying too close to the moving perosn on sailboat at a distance of 1.0m.(0:00) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 8.0m. (0:00) The drone is facing the risk of physical damage. There is a person on sailboat in the drone's flight path at a distance of 10.0m. (0:03) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.(0:03) The drone is flying very close to a human at a distance of 1.0m, and might cause human injury.","{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""perosn on sailboat"", ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 8.0} {""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}{""time_stamp"": ""0:03"", ""Distance"": 1.0}","{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""perosn on sailboat"", ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 8.0} {""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}{""time_stamp"": ""0:03"", ""Distance"": 1.0}"
24,https://drive.google.com/file/d/1xVkTjD-e9PJQU9UOUbIyO8-k6TTTndCK/view?usp=sharing,"(0:01) Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 1m. [SEP]
(0:02) Risk of physical damage! Now the sailboat is only .5m away. [SEP]",(0:01) The drone is facing the risk of physical damage. There is a sailboat 1 in the drone's flight path at a distance of 1.0m.,,"{""time_stamp"": ""0:01"", ""name"": ""sailboat 1"", ""Distance"": 1.0}","{""time_stamp"": ""0:01"", ""name"": ""sailboat 1"", ""Distance"": 1.0}"
9,https://drive.google.com/file/d/1_xY-zrPcdY_PZrEJBcQPwvJ9hmAZpCBm/view?usp=sharing,"Risk of physical damage! The drone's battery is drained. It’s flying at an altitude of 7m. [SEP]
(0:03) Risk of physical damage! There's a sailboat in 1m in the drone's path. [SEP]
(0:04) Risk of physical damage! The sailboat in the drone's path is now .5m away. [SEP]",The flying drone is runing out of battery with only 0.0% charge.(0:03) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 1.0m. (0:04) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.,"{""Battery_level"": 0.0}","{""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:04"", ""name"": ""sailboat"", ""Distance"": 0.5}","{""Battery_level"": 0.0}{""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:04"", ""name"": ""sailboat"", ""Distance"": 0.5}"
40,https://drive.google.com/file/d/1E9FwLthezi1x1eJQ3gaSgY8jAy3CQfQ3/view?usp=sharing,"Risk of physical damage! The drone has an empty battery. It’s flying in strong wind. [SEP]
(0:00) Risk of physical damage! There's a speedboat only 1m away. [SEP]
(0:03) Risk of physical damage! Now the speedboat is in the drone's flight path at a distance of .8m. [SEP]
(0:05) Risk of physical damage! There's the sea in the drone's flight path at a distance of .1m. [SEP]",The drone is flying in a strong wind of 14.0m/s with a low battery level at 0.0%.The drone is facing a risk of physical damage as it's flying over water surface at a very low altitude of 0.0m height.(0:03) The drone is facing the risk of physical damage. There is a speed boat in the drone's flight path at a distance of 0.8m. (0:05) The drone is facing the risk of physical damage. There is a sea in the drone's flight path at a distance of 0.1m.,"{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 14.0}{""Altitude (m)"": 0.0, ""flying over"": ""water""}","{""time_stamp"": ""0:03"", ""name"": ""speed boat"", ""Distance"": 0.8} {""time_stamp"": ""0:05"", ""name"": ""sea"", ""Distance"": 0.1}","{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 14.0}{""Altitude (m)"": 0.0, ""flying over"": ""water""}{""time_stamp"": ""0:03"", ""name"": ""speed boat"", ""Distance"": 0.8} {""time_stamp"": ""0:05"", ""name"": ""sea"", ""Distance"": 0.1}"
27,https://drive.google.com/file/d/1t7UD-jV5iPifZYTxWpYyMATU4cuKGGEv/view?usp=sharing,"Risk of physical damage! The drone is flying 3m high with a damaged frame and empty battery. [SEP]
(0:00) Risk of physical damage! The drone is flying near a sailboat .5m away. [SEP]
(0:03) Risk of physical damage! Now the sailboat is only .3m away. [SEP]
(0:05) Risk of physical damage! The sailboat is only .2m away now. [SEP]",The flying drone is runing out of battery with only 0.0% charge.The drone is flying with a damaged frame.,"{""Battery_level"": 0.0}{""Normal_frame"": false}",,"{""Battery_level"": 0.0}{""Normal_frame"": false}"
1,https://drive.google.com/file/d/1ffTqmrWsXkucziVHSdKdgVHdFCQXUG8w/view?usp=sharing,"(0:01) Risk of physical damage! There's a speedboat in 3m in the drone's path. [SEP]
(0:03) Risk of physical damage! The drone is now flying .5m from the speedboat. [SEP]",(0:02) The drone is risking physical damage. It's flying too close to the moving person on speed boat at a distance of 3.0m.(0:01) The drone is facing the risk of physical damage. There is a speed boat in the drone's flight path at a distance of 3.0m.,,"{""time_stamp"": ""0:02"", ""name"": ""person on speed boat"", ""Distance"": 3.0}{""time_stamp"": ""0:01"", ""name"": ""speed boat"", ""Distance"": 3.0}","{""time_stamp"": ""0:02"", ""name"": ""person on speed boat"", ""Distance"": 3.0}{""time_stamp"": ""0:01"", ""name"": ""speed boat"", ""Distance"": 3.0}"
46,https://drive.google.com/file/d/1hQpqhat3xTZeVM0vvNdRRQSEbZ2iu6EX/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 16m. [SEP]
(0:07) Risk of physical damage! There's a sailboat in the drone's flight path at a distance of .5m. [SEP]",The drone is flying with a damaged frame.(0:06) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 10.0m. (0:07) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:06"", ""name"": ""sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:07"", ""name"": ""sailboat"", ""Distance"": 0.5}","{""Normal_frame"": false}{""time_stamp"": ""0:06"", ""name"": ""sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:07"", ""name"": ""sailboat"", ""Distance"": 0.5}"
10,https://drive.google.com/file/d/1r76WhbY7abz4aLHNZyNTATFUVnazPxWI/view?usp=sharing,"Risk of physical damage! The drone has low battery. It’s flying at an altitude of 1m. [SEP]
(0:00) Risk of physical and human damage! There's a speedboat and a person on the speedboat only .5m away. [SEP]
(0:02) Risk of physical damage! Now the speedboat is still only .5m away. [SEP]","The drone is flying with a damaged frame.(0:00) The drone is risking physical damage. It's flying too close to the moving person on speed boat at a distance of 0.5m.(0:00) The drone is flying very close to a human at a distance of 0.5m, and might cause human injury.","{""Normal_frame"": false}","{""time_stamp"": ""0:00"", ""name"": ""person on speed boat"", ""Distance"": 0.5}{""time_stamp"": ""0:00"", ""Distance"": 0.5}","{""Normal_frame"": false}{""time_stamp"": ""0:00"", ""name"": ""person on speed boat"", ""Distance"": 0.5}{""time_stamp"": ""0:00"", ""Distance"": 0.5}"
